ID,CallName,CallDefLoc,ReturnType,NormalReturn,ErrorReturn
1,access,/usr/include/unistd.h,INT,access_0==0,access_0==-1
2,atexit,/usr/include/stdlib.h,INT,atexit_0==0,atexit_0==-1
3,bind,/usr/include/x86_64-linux-gnu/sys/socket.h,INT,bind_0==0,bind_0==-1
4,chdir,/usr/include/unistd.h,INT,chdir_0==0,chdir_0==-1
5,chmod,/usr/include/x86_64-linux-gnu/sys/stat.h,INT,chmod_0==0,chmod_0==-1
6,chown,/usr/include/unistd.h,INT,chown_0==0,chown_0==-1
7,chroot,/usr/include/unistd.h,INT,chroot_0==0,chroot_0==-1
8,clock_gettime,/usr/include/time.h,INT,clock_gettime_0==0,clock_gettime_0==-1
9,close,/usr/include/unistd.h,INT,close_0==0,close_0==-1
10,closedir,/usr/include/dirent.h,INT,closedir_0==0,closedir_0==-1
11,connect,/usr/include/x86_64-linux-gnu/sys/socket.h,INT,connect_0==0,connect_0==-1
12,daemon,/usr/include/stdlib.h,INT,daemon_0==0,daemon_0==-1
13,dlclose,/usr/include/dlfcn.h,INT,dlclose_0==0,dlclose_0==-1
14,fchdir,/usr/include/unistd.h,INT,fchdir_0==0,fchdir_0==-1
15,fchmod,/usr/include/x86_64-linux-gnu/sys/stat.h,INT,fchmod_0==0,fchmod_0==-1
16,fchown,/usr/include/unistd.h,INT,fchown_0==0,fchown_0==-1
17,fgetpos,/usr/include/stdio.h,INT,fgetpos_0==0,fgetpos_0==-1
18,flock,/usr/include/x86_64-linux-gnu/sys/fcntl.h,INT,flock_0==0,flock_0==-1
19,fseek,/usr/include/stdio.h,INT,fseek_0==0,fseek_0==-1
20,fseeko,/usr/include/stdio.h,INT,fseeko_0==0,fseeko_0==-1
21,fsetpos,/usr/include/stdio.h,INT,fsetpos_0==0,fsetpos_0==-1
22,fstat,/usr/include/x86_64-linux-gnu/sys/stat.h,INT,fstat_0==0,fstat_0==-1
